x_m,y_m,incident_W_m2,absorbed_W_m2
-0.0040000000000000001,-0.025000000000000001,0.0070200949229675368,0.0042120569537805221
-0.0035000000000000031,-0.025000000000000001,0.0092244211216233676,0.0055346526729740204
-0.0029999999999999992,-0.025000000000000001,0.011761665855446652,0.007056999513267991
-0.0025000000000000022,-0.025000000000000001,0.014500857968840526,0.0087005147813043159
-0.0019999999999999983,-0.025000000000000001,0.017246740470716875,0.010348044282430125
-0.0015000000000000013,-0.025000000000000001,0.019759137448798175,0.011855482469278904
-0.00099999999999999742,-0.025000000000000001,0.021786115722600342,0.013071669433560204
-0.00050000000000000044,-0.025000000000000001,0.023105112954467526,0.013863067772680515
0,-0.025000000000000001,0.023562979566999282,0.014137787740199569
0.00050000000000000044,-0.025000000000000001,0.023105112954467526,0.013863067772680515
0.0010000000000000009,-0.025000000000000001,0.021786115722600342,0.013071669433560204
0.0015000000000000013,-0.025000000000000001,0.019759137448798175,0.011855482469278904
0.0020000000000000018,-0.025000000000000001,0.017246740470716847,0.010348044282430108
0.0024999999999999988,-0.025000000000000001,0.014500857968840502,0.0087005147813043002
0.0030000000000000027,-0.025000000000000001,0.011761665855446593,0.0070569995132679555
0.0034999999999999996,-0.025000000000000001,0.0092244211216233694,0.0055346526729740213
0.0040000000000000036,-0.025000000000000001,0.0070200949229674951,0.0042120569537804969
0.0045000000000000005,-0.025000000000000001,0.0052112922514210786,0.0031267753508526469
0.0049999999999999975,-0.025000000000000001,0.0038010099670071763,0.0022806059802043055
0.0055000000000000014,-0.025000000000000001,0.0027493350824517246,0.0016496010494710348
0.0059999999999999984,-0.025000000000000001,0.0019925992475844606,0.0011955595485506764
0.0064999999999999988,-0.025000000000000001,0.0014604755231737824,0.00087628531390426942
0.0069999999999999993,-0.025000000000000001,0.0010883240850016098,0.00065299445100096591
0.0074999999999999997,-0.025000000000000001,0.00082401029022801081,0.00049440617413680651
0.0080000000000000002,-0.025000000000000001,0.00062988831154986826,0.00037793298692992097
0.0085000000000000006,-0.025000000000000001,0.00048143452821170776,0.00028886071692702463
0.0090000000000000011,-0.025000000000000001,0.00036416738937086805,0.00021850043362252084
0.0095000000000000015,-0.025000000000000001,0.00027020410517145907,0.00016212246310287544
0.010000000000000002,-0.025000000000000001,0.00019531947032823668,0.000117191682196942
0.010500000000000002,-0.025000000000000001,0.00013688617764294746,8.2131706585768469e-05
0.011000000000000003,-0.025000000000000001,9.2707934366392003e-05,5.5624760619835198e-05
0.011500000000000003,-0.025000000000000001,6.0546983498736091e-05,3.6328190099241655e-05
0.012000000000000004,-0.025000000000000001,3.8079848919989879e-05,2.2847909351993926e-05
