x_m,y_m,incident_W_m2,absorbed_W_m2
0.0010000000000000009,-0.024,3.7710323392409317,2.262619403544559
0.0015000000000000013,-0.024,3.5472753857454657,2.1283652314472792
0.0020000000000000018,-0.024,3.2598498872580457,1.9559099323548272
0.0024999999999999988,-0.024,2.9302200325641548,1.7581320195384929
0.0030000000000000027,-0.024,2.5806811175808764,1.5484086705485258
0.0034999999999999996,-0.024,2.2317889385890322,1.3390733631534193
0.0040000000000000036,-0.024,1.9003675793012178,1.1402205475807305
0.0045000000000000005,-0.024,1.598342268674336,0.95900536120460156
0.0049999999999999975,-0.024,1.3324569239305069,0.79947415435830405
0.0055000000000000014,-0.024,1.1047633656497422,0.66285801938984534
0.0059999999999999984,-0.024,0.91364769005369284,0.54818861403221564
0.0064999999999999988,-0.024,0.75510746234401094,0.45306447740640654
0.0069999999999999993,-0.024,0.62400984944600435,0.37440590966760262
0.0074999999999999997,-0.024,0.51512815817863433,0.3090768949071806
0.0080000000000000002,-0.024,0.42384668090602901,0.2543080085436174
0.0085000000000000006,-0.024,0.34651530436896083,0.2079091826213765
0.0090000000000000011,-0.024,0.28050635877398256,0.16830381526438953
0.0095000000000000015,-0.024,0.22406666927820854,0.13444000156692512
0.010000000000000002,-0.024,0.17606737680579351,0.10564042608347611
0.010500000000000002,-0.024,0.13573966776303703,0.08144380065782221
0.011000000000000003,-0.024,0.10245649163998079,0.061473894983988468
0.011500000000000003,-0.024,0.075589071330619192,0.045353442798371515
0.012000000000000004,-0.024,0.054440444535531117,0.032664266721318669
0.012499999999999997,-0.024,0.038240700457462265,0.022944420274477358
0.013000000000000005,-0.024,0.026180771390256975,0.015708462834154183
0.013499999999999998,-0.024,0.01746184631261154,0.010477107787566924
0.014000000000000005,-0.024,0.0113426939085814,0.0068056163451488396
0.014499999999999999,-0.024,0.0071743416205741137,0.004304604972344468
0.014999999999999999,-0.024,0.0044182828294699727,0.0026509696976819833
0.0155,-0.024,0.0026493208262072443,0.0015895924957243465
0.016000000000000007,-0.024,0.0015469064193259973,0.00092814385159559838
0.016500000000000001,-0.024,0.0008796604214768173,0.0005277962528860904
0.017000000000000001,-0.024,0.00048729985658805462,0.00029237991395283274
0.017500000000000002,-0.024,0.00026306026629616244,0.00015783615977769746
0.017999999999999995,-0.024,0.00013844680510787229,8.3068083064723378e-05
0.018500000000000003,-0.024,7.1075410360079609e-05,4.2645246216047763e-05
0.019000000000000003,-0.024,3.5617191342908479e-05,2.1370314805745088e-05
0.019500000000000003,-0.024,1.7436502550910961e-05,1.0461901530546576e-05
0.019999999999999997,-0.024,8.3471454371878055e-06,5.0082872623126828e-06
0.020499999999999997,-0.024,3.9118175159045572e-06,2.3470905095427344e-06
0.021000000000000005,-0.024,1.7968908012626711e-06,1.0781344807576026e-06
0.021500000000000005,-0.024,8.1012243058500556e-07,4.8607345835100331e-07
0.021999999999999999,-0.024,3.5897756123081129e-07,2.1538653673848677e-07
0.022499999999999999,-0.024,1.5655143550327873e-07,9.393086130196724e-08
0.023000000000000007,-0.024,6.7273791867466565e-08,4.0364275120479936e-08
0.023500000000000007,-0.024,2.8513730031782688e-08,1.7108238019069613e-08
0.024,-0.024,1.1927612686736184e-08,7.1565676120417102e-09
0.024500000000000001,-0.024,4.9253669967635936e-09,2.955220198058156e-09
0.025000000000000001,-0.024,2.0073114464122528e-09,1.2043868678473517e-09
-0.025000000000000001,-0.0235,4.9380443332348036e-09,2.9628265999408822e-09
-0.024500000000000001,-0.0235,1.1948016578559043e-08,7.1688099471354249e-09
-0.024,-0.0235,2.8513823510747377e-08,1.7108294106448425e-08
-0.0235,-0.0235,6.715932575511452e-08,4.0295595453068711e-08
-0.023,-0.0235,1.5615034020649927e-07,9.3690204123899558e-08
-0.022500000000000003,-0.0235,3.5832005667564662e-07,2.1499203400538796e-07
-0.022000000000000002,-0.0235,8.1099623901668026e-07,4.8659774341000809e-07
-0.021500000000000002,-0.0235,1.808697798438996e-06,1.0852186790633976e-06
-0.021000000000000001,-0.0235,3.9699656071356095e-06,2.3819793642813656e-06
-0.020500000000000001,-0.0235,8.5643768828521934e-06,5.1386261297113159e-06
-0.02,-0.0235,1.8133912308995707e-05,1.0880347385397425e-05
-0.0195,-0.0235,3.7634911611245271e-05,2.2580946966747161e-05
-0.019,-0.0235,7.6463450540542743e-05,4.5878070324325644e-05
-0.018500000000000003,-0.0235,0.00015191406999148717,9.1148441994892294e-05
-0.018000000000000002,-0.0235,0.000294852361365524,0.00017691141681931439
-0.017500000000000002,-0.0235,0.0005586237315591627,0.00033517423893549762
-0.017000000000000001,-0.0235,0.001032402169320236,0.00061944130159214154
-0.016500000000000001,-0.0235,0.00186018232169252,0.001116109393015512
-0.016,-0.0235,0.0032662657820266968,0.0019597594692160182
-0.0155,-0.0235,0.0055871972552137029,0.0033523183531282215
-0.015000000000000001,-0.0235,0.0093085202189770316,0.0055851121313862185
-0.014500000000000001,-0.0235,0.015102443994863808,0.0090614663969182836
-0.014,-0.0235,0.023859820564534097,0.014315892338720458
-0.0135,-0.0235,0.036707385836653006,0.022024431501991803
-0.012999999999999999,-0.0235,0.055000111035698275,0.033000066621418966
-0.012500000000000001,-0.0235,0.080280101595340075,0.048168060957204044
-0.012,-0.0235,0.11419905533655668,0.068519433201934002
-0.0115,-0.0235,0.15841145522896288,0.095046873137377724
-0.010999999999999999,-0.0235,0.21445965033802175,0.12867579020281306
-0.010499999999999999,-0.0235,0.2836870348661486,0.17021222091968916
-0.010000000000000002,-0.0235,0.36722684079280632,0.22033610447568377
